dmy float,dmy,irtemp c,min c,max c
1835.379781420765,1835-05-19,,,
1835.3825136612022,1835-05-20,,,
1835.3852459016393,1835-05-21,,,
1835.3879781420765,1835-05-22,,,
1835.3907103825136,1835-05-23,,,
1835.3934426229507,1835-05-24,,,
1835.396174863388,1835-05-25,,,
1835.3989071038252,1835-05-26,,,
1835.4016393442623,1835-05-27,,,
1835.4043715846994,1835-05-28,,,
1835.4071038251366,1835-05-29,,,
1835.4098360655737,1835-05-30,,,
1835.4125683060108,1835-05-31,,,
1835.016393442623,1835-01-06,,,
1835.1010928961748,1835-02-06,,,
1835.1775956284152,1835-03-06,,,
1835.2622950819673,1835-04-06,,,
1835.344262295082,1835-05-06,,,
1835.4289617486338,1835-06-06,,,
1835.5109289617487,1835-07-06,,,
1835.5956284153006,1835-08-06,,,
1835.6803278688524,1835-09-06,,,
1835.7622950819673,1835-10-06,,,
1835.8469945355191,1835-11-06,,,
1835.9289617486338,1835-12-06,,,
1835.448087431694,1835-06-13,,,
1835.450819672131,1835-06-14,,,
1835.4535519125684,1835-06-15,,,
1835.4562841530055,1835-06-16,,,
1835.4590163934427,1835-06-17,,,
1835.4617486338798,1835-06-18,,,
1835.464480874317,1835-06-19,,,
1835.467213114754,1835-06-20,,,
1835.4699453551912,1835-06-21,,,
1835.4726775956285,1835-06-22,,,
1835.4754098360656,1835-06-23,,,
1835.4781420765028,1835-06-24,,,
1835.48087431694,1835-06-25,,,
1835.483606557377,1835-06-26,,,
1835.4863387978141,1835-06-27,,,
1835.4890710382513,1835-06-28,,,
1835.4918032786886,1835-06-29,,,
1835.4945355191257,1835-06-30,,,
1835.01912568306,1835-01-07,,,
1835.103825136612,1835-02-07,,,
1835.1803278688524,1835-03-07,,,
1835.2650273224044,1835-04-07,,,
1835.3469945355191,1835-05-07,,,
1835.431693989071,1835-06-07,,,
1835.5136612021859,1835-07-07,,,
1835.5983606557377,1835-08-07,,,
1835.6830601092897,1835-09-07,,,
1835.7650273224044,1835-10-07,,,
1835.8497267759562,1835-11-07,,,
1835.931693989071,1835-12-07,,,
1835.5300546448088,1835-07-13,,,
